trial_id,gesture_label,gesture_name,repeat_index,stage,sample_index,sample_time_s,raw_ch0,raw_ch1,raw_ch2,raw_ch3,raw_ch4,raw_ch5,raw_ch6,raw_ch7,filtered_ch0,filtered_ch1,filtered_ch2,filtered_ch3,filtered_ch4,filtered_ch5,filtered_ch6,filtered_ch7,activity
power_01,1,POWER,1,active,0,35.992660,-36148.09500000,8884.71000000,-13626.31500000,1478.74500000,-946.30500000,-18099.18000000,-37825.42500000,17298.22500000,-11138.86775963,2737.78216453,-4198.88574588,455.66841089,-291.59949522,-5577.17834308,-11655.72921690,5330.36777599,5173.25986401
power_01,1,POWER,1,active,1,35.994660,-36136.44000000,8881.06500000,-13637.74500000,1460.34000000,-968.35500000,-18116.32500000,-37808.64000000,17300.16000000,-21803.92580524,5358.86788278,-8224.04103261,886.42973355,-577.68395915,-10924.20377221,-22814.24904633,10436.31465525,10128.21448589
power_01,1,POWER,1,active,2,35.996660,-36119.74500000,8879.80500000,-13635.63000000,1454.94000000,-974.74500000,-18111.10500000,-37790.82000000,17298.36000000,-2839.78069104,698.38486645,-1081.31169815,103.90033224,-89.93153736,-1436.69584506,-2968.67457328,1365.38126604,1323.00760120
power_01,1,POWER,1,active,3,35.998660,-36129.24000000,8873.37000000,-13638.46500000,1453.50000000,-975.55500000,-18106.69500000,-37802.97000000,17287.83000000,10777.85634737,-2650.09870910,4059.25980058,-445.72377011,276.09335345,5395.53865677,11277.85734547,-5157.92858608,5005.04457111
power_01,1,POWER,1,active,4,36.000660,-36127.12500000,8879.08500000,-13626.76500000,1468.53000000,-958.90500000,-18089.95500000,-37801.53000000,17289.40500000,7114.61903676,-1751.58853541,2690.10614688,-282.52026487,197.14706700,3579.21570936,7441.83505259,-3414.65958202,3308.96142436
power_01,1,POWER,1,active,5,36.002660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,13399.75248503,-3290.31495398,5065.30893835,-529.97355591,372.10850908,6729.43629922,14019.70095261,-6416.03442804,6227.82876528
power_01,1,POWER,1,active,6,36.004660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,11368.01284336,-2789.73085820,4298.79298018,-447.36554707,318.33796813,5708.56071953,11893.99773690,-5440.89066244,5283.21116448
power_01,1,POWER,1,active,7,36.006660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,8473.05541440,-2083.29963176,3197.93125268,-342.27424719,227.80488755,4245.51450372,8865.26735660,-4057.34054610,3936.56098000
power_01,1,POWER,1,active,8,36.008660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,9191.13431044,-2258.50311494,3464.21456730,-376.72817728,240.18932378,4597.40365240,9617.57072402,-4396.16376747,4267.73845470
power_01,1,POWER,1,active,9,36.010660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,4281.69679886,-1052.90711935,1612.72291333,-177.25021374,110.25460070,2138.76749466,4480.21853805,-2048.02374086,1987.73017744
power_01,1,POWER,1,active,10,36.012660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,3549.64645964,-873.93585475,1333.59002234,-151.35149826,86.30253266,1768.19487742,3714.69259026,-1697.42391408,1646.89221868
power_01,1,POWER,1,active,11,36.014660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,475.24692459,-117.10465298,175.21759307,-24.56326824,6.67495704,229.87840004,497.72702534,-224.85589684,218.90858977
power_01,1,POWER,1,active,12,36.016660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-2431.20026810,596.14211393,-921.11426649,93.27460802,-70.57932276,-1225.25615439,-2543.51643887,1164.44881778,1130.69149879
power_01,1,POWER,1,active,13,36.018660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-3808.46170119,935.45208865,-1440.61859718,149.51535917,-107.08469021,-1914.93776093,-3984.42518529,1824.74748405,1770.65535833
power_01,1,POWER,1,active,14,36.020660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-6486.14464041,1593.51533503,-2449.25271161,260.02342514,-176.12878969,-3253.64591522,-6786.43360319,3105.32269575,3013.80838950
power_01,1,POWER,1,active,15,36.022660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-6837.81816024,1679.88013168,-2581.95431046,274.32230421,-185.56071562,-3429.17528463,-7154.32713616,3273.36053253,3177.04982194
power_01,1,POWER,1,active,16,36.024660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-7294.02454679,1792.59610197,-2752.60933889,294.78556939,-195.55638983,-3655.17178807,-7631.82573371,3491.61710259,3388.52332141
power_01,1,POWER,1,active,17,36.026660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-6673.41304557,1639.86944648,-2517.60833122,270.68059653,-177.78421146,-3342.27865689,-6982.59387645,3193.56086850,3099.72362914
power_01,1,POWER,1,active,18,36.028660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-5199.55775271,1278.13897119,-1960.60040613,212.26774532,-137.06984572,-2602.15035043,-5440.52394696,2488.16085081,2414.80873366
power_01,1,POWER,1,active,19,36.030660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-3949.55945369,971.02821134,-1487.80955769,163.09593292,-101.98091570,-1973.91693910,-4132.79374979,1889.22027165,1833.67562899
power_01,1,POWER,1,active,20,36.032660,-36131.58000000,8882.73000000,-13618.17000000,1482.57000000,-943.06500000,-18077.26500000,-37806.75000000,17288.95500000,-2246.36024895,552.57048382,-844.83162564,94.59206966,-55.96642501,-1120.02350441,-2350.71363906,1073.92951242,1042.37343862
