trial_id,gesture_label,gesture_name,repeat_index,cue_time_s,end_time_s,status,onset_sample_index,onset_time_s,prediction_frame_index,prediction_time_s,prediction_window_start_sample,prediction_window_end_sample,latency_ms,threshold,notes
power_01,1,POWER,1,3.0,7.513916569001594,ok,1207,2.420745713002194,73,7.513916569001594,3650,3750,5093.1708559994,30.35627886815398,
power_02,1,POWER,2,3.0,4.6037401149988,ok,1573,3.148818346998858,44,4.6037401149988,2200,2300,1454.921767999942,26.78691246249271,
power_03,1,POWER,3,3.0,5.008740279001358,ok,1604,3.2151732829990216,48,5.008740279001358,2400,2500,1793.5669960023367,30.85539661998415,
power_04,1,POWER,4,3.0,4.8069499880002695,ok,1496,2.997596934999223,46,4.8069499880002695,2300,2400,1809.3530530010464,26.65813130160622,
power_05,1,POWER,5,3.0,5.507643878001545,ok,1480,2.9641530020021603,53,5.507643878001545,2650,2750,2543.490875999385,30.69909145572104,
open_01,2,OPEN,1,3.0,4.505737430001318,ok,1557,3.1199021720011078,43,4.505737430001318,2150,2250,1385.8352580002102,39.693849522660294,
open_02,2,OPEN,2,3.0,4.4073412049983745,ok,1513,3.0325971869971253,42,4.4073412049983745,2100,2200,1374.744018001249,41.65121230504115,
open_03,2,OPEN,3,3.0,5.908818002000771,ok,1486,2.9779390640013155,57,5.908818002000771,2850,2950,2930.878937999456,34.43711148604265,
open_04,2,OPEN,4,3.0,5.609626850000495,ok,1591,3.1870489169992506,54,5.609626850000495,2700,2800,2422.5779330012447,45.31140655353579,
open_05,2,OPEN,5,3.0,4.505863509999472,ok,1576,3.156880163000373,43,4.505863509999472,2150,2250,1348.9833469990988,27.745251331102796,
flexion_01,3,FLEXION,1,3.0,4.507442866000929,ok,1538,3.082608681998798,43,4.507442866000929,2150,2250,1424.834184002131,33.13062522302349,
flexion_02,3,FLEXION,2,3.0,4.4092457449987705,ok,1465,2.9357398989989014,42,4.4092457449987705,2100,2200,1473.505845999869,29.56723475675173,
flexion_03,3,FLEXION,3,3.0,4.414547600001242,ok,1477,2.9609423620002926,42,4.414547600001242,2100,2200,1453.6052380009496,27.01815854150756,
flexion_04,3,FLEXION,4,3.0,4.504087645000254,ok,1545,3.0941390770001744,43,4.504087645000254,2150,2250,1409.9485680000798,34.66612246386298,
flexion_05,3,FLEXION,5,3.0,4.407537732000492,ok,1459,2.923595188001782,42,4.407537732000492,2100,2200,1483.9425439987099,28.837928339786835,
extension_01,4,EXTENSION,1,3.0,4.205557165998471,ok,1457,2.9194660459969017,40,4.205557165998471,2000,2100,1286.091120001569,33.685231939297374,
extension_02,4,EXTENSION,2,3.0,6.507074069999362,ok,1662,3.32716837000096,63,6.507074069999362,3150,3250,3179.9056999984023,35.904725936921935,
extension_03,4,EXTENSION,3,3.0,4.306711868997809,ok,1447,2.9002421279991686,41,4.306711868997809,2050,2150,1406.4697409986402,35.65304947813774,
extension_04,4,EXTENSION,4,3.0,4.205231970001478,ok,1420,2.845105614001106,40,4.205231970001478,2000,2100,1360.1263560003715,33.83669159180631,
extension_05,4,EXTENSION,5,3.0,4.408331881000777,ok,1554,3.1179951690029704,42,4.408331881000777,2100,2200,1290.3367119978063,35.39245873564378,
