sample_index,stamp,residual_x_m,residual_y_m,residual_z_m,residual_roll_rad,residual_pitch_rad,residual_yaw_rad,translation_residual_m,rotation_residual_deg,arm_before_dt_s,arm_after_dt_s,arm_alpha,head_id2_reprojection_error_px,head_id2_distance_m,head_id2_view_angle_deg
0,1779190806.714997053,0.00283159347,0.000356612671,0.00694726307,-0.0236339358,0.0143427195,0.00374536077,0.00751062969,1.59844366,0.0169203281,0.0164322853,0.507316411,0.211036606,0.596423344,17.5517666
1,1779190807.048511028,0.000653861392,0.000110144555,0.000737119979,-0.00298385,-0.00227077835,0.00471894503,0.000991469821,0.345338339,0.0169069767,0.0164458752,0.506912475,0.324617462,0.586833635,20.7632357
2,1779190807.181915045,-0.000324075755,0.00121948138,0.00143079957,-0.000961845371,-0.00649554678,0.00855548868,0.00190770735,0.617928172,0.0169005394,0.0164530277,0.506708603,0.106082403,0.584299786,21.2358245
3,1779190807.215266705,-0.000323309158,0.00113881354,0.00306722952,-0.0103488351,-0.00181050863,0.00776128163,0.00328775334,0.748393035,0.016898632,0.0498085022,0.253325709,0.375214615,0.58525422,20.7286916
4,1779190807.281974554,0.0012807842,0.000816154487,0.00300402298,-0.00820876038,0.0144481223,0.00142645645,0.00336610612,0.95559804,0.0168993473,0.0164542198,0.506672862,0.374461562,0.587822877,20.4098008
5,1779190807.315328598,0.00145537042,0.0024239844,0.00123483483,-0.00393189938,0.0176574426,0.0093733656,0.00308522617,1.16735155,0.0168998241,0.0498070717,0.253344485,0.365620373,0.587565441,20.5157845
6,1779190807.382036924,0.000615337789,-0.000341682806,-0.000567923409,-0.00205025088,0.00746697845,0.00241722014,0.000904391913,0.464775259,0.0169012547,0.0164520741,0.50673367,0.0929075075,0.585241408,21.1411477
7,1779190807.515452623,0.000575189446,-0.00021332602,-0.00100618575,-0.00223859673,0.000332616635,-0.00248132295,0.00117845689,0.192422676,0.0169036388,0.0498030186,0.253402576,0.297154521,0.584089893,21.2367873
8,1779190807.582160473,0.000297706793,-0.000223976734,-0.000651878124,-0.000682403973,0.00398796862,-0.00141544002,0.000750826212,0.245591389,0.0169048309,0.0164484978,0.506840894,0.345317086,0.584431286,21.3417399
9,1779190807.648868084,0.0015745998,0.00319644755,-0.00105638824,-0.0012346043,-0.00161664194,0.00757317014,0.00371653031,0.449290564,0.0169062614,0.0164470673,0.506883783,0.308960636,0.58475747,21.3438246
10,1779190807.682221889,0.00168363735,0.00299712395,-0.00116052949,-0.00044237614,0.000531696376,0.00706629886,0.00362825239,0.406803977,0.0169067383,0.0497996807,0.253449946,0.304083274,0.584821496,21.3993988
11,1779190807.815636873,0.00284582128,0.00497960929,-0.00245433969,0.00731610178,0.024187559,0.00385563084,0.0062385087,1.46460974,0.0169093609,0.0497965813,0.253491074,0.287241626,0.585739568,21.2970307
12,1779190807.882344484,0.00173564924,0.00272672738,-0.00417883281,0.00589727693,0.00111539419,0.00474169409,0.00528300711,0.438249579,0.0169110298,0.0164418221,0.507033998,0.0578559941,0.581689513,22.2399891
13,1779190807.915698290,0.0020965688,0.00276067866,-0.00356348428,0.000148694832,0.00803116811,0.00291482591,0.00497145529,0.489595643,0.0169119835,0.0164408684,0.507062591,0.246229301,0.581436001,21.774664
14,1779190807.949052095,0.00184667655,0.00325850509,-0.00390489847,-0.00510696383,0.00451217884,0.00658449306,0.00541075796,0.54294028,0.0169129372,0.0164399147,0.507091185,0.416426013,0.580757828,21.6054577
15,1779190807.982405424,0.00234801657,0.0040428822,-0.00284362021,-0.000308036805,-0.00836446641,0.00918646706,0.00547213433,0.712060832,0.016913414,0.0164394379,0.507105481,0.144818491,0.580949885,22.2087532
16,1779190808.015759230,0.000850823632,0.00532121885,-0.00670619809,0.00227236161,-0.00357265088,0.0174469152,0.00860304387,1.02865044,0.0169143677,0.0164384842,0.507134075,0.148220443,0.576577028,22.1107304
17,1779190808.049112797,0.00140735967,0.00730234647,-0.00425995162,0.0138975435,0.00592858776,0.0157364693,0.00857042082,1.24994959,0.0169150829,0.0164375305,0.507159145,0.0749198525,0.57807953,22.3789251
18,1779190808.082466602,0.00205575248,0.0065075944,-0.00150565783,-0.00347917715,0.00774726163,0.0147007708,0.00698869864,0.972742289,0.016916275,0.0164365768,0.507191262,0.0460890404,0.579037412,21.5352125
19,1779190808.115820169,0.00215736818,0.00448815027,-9.71420874e-05,0.00539498932,0.0162010965,0.011717467,0.00498067936,1.18656291,0.0169169903,0.0164346695,0.507230836,0.203721509,0.578917658,21.9156082
20,1779190808.149173498,0.000365430324,0.00198438143,-0.00585236165,-0.0126544467,-0.000252683378,0.00809596014,0.0061904318,0.860855389,0.0169186592,0.0164353848,0.507244616,0.102599666,0.57347648,21.905933
21,1779190808.182527065,-0.000114598013,-0.000692364579,-0.00512048582,-0.011085606,-0.0098562428,0.00489242219,0.00516835336,0.894937293,0.0169181824,0.0164358616,0.507230319,0.183062271,0.57327132,22.7583422
22,1779190808.315926313,0.00213658191,0.000958426006,0.00204384472,-0.0189439473,0.0135957908,0.00616489273,0.00310819303,1.38191502,0.0169017315,0.0164523125,0.506737099,0.2103331,0.576083472,21.7319839
23,1779190813.919841290,-0.0208041593,0.00243569691,-0.00408386712,0.00965994039,0.0135976181,-0.00955005395,0.0213406568,1.10123203,0.0169308186,0.0164275169,0.507543866,0.0797083855,0.505263694,29.6850762
24,1779190814.153725624,-0.0101032772,0.00256740065,-0.00462913281,0.0136052181,-0.0127381805,0.00418520755,0.0114059908,1.09445312,0.0173063278,0.0160512924,0.518811825,0.429692737,0.502523322,31.2082681
25,1779190814.187139034,-0.00100177259,-0.000748995816,-0.00294515592,0.00750773425,-0.0139712718,-0.00140750553,0.00319976349,0.912323671,0.0173621178,0.0493600368,0.260215184,0.415261117,0.502891853,31.2018615
26,1779190814.320639849,-0.00120603261,-0.00233166349,-0.00218375701,0.00884804298,0.000412249944,-0.00840402614,0.00341466894,0.699584682,0.0174183846,0.0493040085,0.261057551,0.111937237,0.501583713,31.7634992
27,1779190814.387330532,-0.000279221877,3.06802799e-05,-0.00363026845,0.00675434485,-0.0121013678,0.0026877191,0.00364112004,0.808841317,0.0173866749,0.0493357182,0.260582304,0.184363779,0.501442859,31.8443215
28,1779190814.487365484,-0.000768235595,-0.000385004493,-0.00154441074,0.0124202975,-0.0139792895,0.0014594203,0.00176737629,1.07468042,0.0173377991,0.0493848324,0.25984885,0.280312446,0.50059386,32.3297487
29,1779190814.587399483,-0.000295778874,-0.00126280719,-0.00359767525,0.00819338056,-0.00537271672,-0.0026181296,0.00382432142,0.581071222,0.0172877312,0.0494349003,0.259098462,0.163329765,0.498977946,32.4351085
30,1779190814.720776320,0.00027980304,0.000191503933,-0.000799459084,0.00712453196,-0.00313560582,-0.000982754497,0.000868388349,0.449531987,0.0172185898,0.0161428452,0.516122577,0.105017398,0.500248917,32.3914927
31,1779190814.754120350,-0.000309498492,-0.000459587394,-0.00418494679,0.00930469678,-0.00327035662,-0.000977244125,0.00422146769,0.567857603,0.0172011852,0.0495219231,0.257799519,0.411698231,0.496789434,32.5349722
32,1779190814.954181910,-9.92981789e-05,-0.000209694089,-0.00296850941,0.00433909877,-0.00485057167,-0.00325987856,0.00297756274,0.41705122,0.0170929432,0.0162684917,0.512356355,0.356931214,0.500074169,32.345281
33,1779190815.220925331,-0.00064046569,-0.00202807003,-0.000309475575,0.00494059934,-0.00612213462,-0.00670731192,0.00214919508,0.592334419,0.0169327259,0.0164458752,0.507292857,0.163079239,0.50224471,32.910928
34,1779190815.521020412,6.18802258e-05,0.000741240651,-0.000829063598,0.0180550059,4.32463324e-05,-0.000910027131,0.00111382822,1.03579179,0.0166156292,0.0167639256,0.497778635,0.287497965,0.507590617,33.500736
35,1779190815.754420996,-0.000124176743,-0.000116854159,0.00149720848,0.00679960179,0.00699682113,-0.00644376773,0.00150688685,0.66992521,0.0163552761,0.0170252323,0.489964859,0.103821007,0.512207628,32.5376532
36,1779190815.787763357,-0.00016058422,-0.000442410555,-4.8812166e-05,-0.000555930125,-0.00246836098,0.00142622001,0.000473177576,0.166414087,0.0163171291,0.0170638561,0.488815085,0.042467721,0.512374305,32.0594459
37,1779190815.821105719,-0.00127549919,-0.00203969037,-0.00145177398,0.00987579732,0.00182700836,-0.00974088398,0.00280978338,0.801637684,0.0162785053,0.0171022415,0.487661507,0.221738589,0.511785507,32.6069444
38,1779190816.087839365,-0.00122115788,-0.00169734016,-0.000310143189,0.00585253128,-0.0134319554,-0.000160816492,0.00211385405,0.839525731,0.0159614086,0.0174205303,0.478145043,0.105368248,0.521023454,31.1016842
39,1779190816.121180773,-0.0011073649,-0.00166760226,-0.00094587191,0.00797985137,-0.0228146281,-0.000421242852,0.00221400723,1.38504501,0.0159208775,0.0174610615,0.476930878,0.165156046,0.521695419,31.0894284
40,1779190816.154521704,-0.000870160455,-0.000628953535,-0.00120938505,0.00150685665,-0.0140020195,-0.000683504023,0.00161721179,0.807838684,0.0158798695,0.0175154209,0.475512244,0.446125309,0.523573152,30.4464608
41,1779190816.254544497,-0.000352833468,0.00122577487,0.00146362903,0.00501306772,-0.00400607416,0.000197006511,0.00194144931,0.367847337,0.0158047676,0.0175468922,0.473882491,0.300831407,0.527309011,29.7501859
42,1779190816.321226120,-0.000801613254,-0.000523501705,-6.84030485e-05,0.0231467778,0.00464113811,-0.00551526715,0.000959852499,1.38903176,0.0157837868,0.0175676346,0.473256795,0.139433742,0.527704139,30.4326634
43,1779190816.654625654,0.000412032856,0.000882786396,0.0014333119,0.0134418723,-0.00907081848,-0.000888270873,0.00173305104,0.930510103,0.0156729221,0.017677784,0.469942738,0.118485746,0.535864458,27.7505208
44,1779190816.687964916,8.32068279e-05,0.000645615915,0.00037137868,0.0120926764,-0.0194419851,0.00447960632,0.0007494434,1.33671248,0.015661478,0.0176894665,0.469596237,0.470341049,0.535657429,27.6995609
45,1779190816.787981510,-0.000461219266,-0.00107177199,-0.000817244401,0.0151845208,-0.00603937213,-0.00335439463,0.0014245374,0.955819403,0.0156259537,0.017724514,0.468537768,0.164940681,0.536383621,27.4729146
46,1779190816.821320057,-4.99370449e-05,-0.000958144859,-0.000601283465,0.00425554422,0.004715421,-0.00395673246,0.00113228843,0.428764587,0.0156140327,0.0177366734,0.468176976,0.19369547,0.538885853,26.5835698
47,1779190816.921334982,-4.33335312e-05,-0.000411385287,-0.000425458661,0.00478691422,-0.00364465372,-0.00078616035,0.000593406034,0.347649415,0.0489280224,0.0177726746,0.733545894,0.0978235052,0.540268704,25.9343524
48,1779190816.988010645,0.00017012777,-8.98564404e-05,-0.0014237441,0.000503242613,-0.0189261362,0.00605097908,0.00143668538,1.13882656,0.0155525208,0.0177977085,0.466339246,0.151410281,0.540941693,25.4718772
49,1779190817.088023663,-0.000504422692,-0.000927395629,-0.00105102162,0.00560601769,-0.00797300877,-0.00363013352,0.00148968163,0.595915145,0.0488653183,0.0178351402,0.732608431,0.174343962,0.5433097,25.1276262
50,1779190817.121360779,-0.000249128106,-0.00174367512,0.000482622145,0.000993763506,-0.012796449,-0.00147818499,0.00182630552,0.740251059,0.015501976,0.0178482533,0.464823672,0.305989893,0.545807044,24.8561992
51,1779190817.154697895,-0.000903789928,-0.00310986517,-0.00097678453,0.0114408657,-0.0107357665,-0.00478420317,0.00338263294,0.93978823,0.015488863,0.0178604126,0.464443761,0.209843004,0.544504398,25.2249523
52,1779190817.221372366,0.000419562387,0.000721078134,-0.00015286331,0.00011328497,-0.0066963819,0.000782690436,0.000848147077,0.38634085,0.0154626369,0.017888546,0.46363084,0.22874953,0.548368642,24.0201574
53,1779190817.254727602,-0.000461135824,-0.0014097537,-0.00181928847,0.0102730956,-0.0213799012,-0.00300588823,0.00234730958,1.36992284,0.0154666901,0.0178844929,0.463752368,0.0353288783,0.547688082,24.6913984
54,1779190817.321441412,0.00069935269,0.000564067641,-0.00146390511,0.00274904139,-0.0148050238,0.00132312189,0.00171763927,0.866088978,0.0488293171,0.0178730488,0.732047754,0.0994956592,0.550227517,23.6989993
55,1779190817.655010462,0.000834078445,0.00235027491,0.000134189631,0.00162058127,-0.019556261,0.0125722943,0.00249749591,1.33529435,0.0155384541,0.0178120136,0.465914128,0.237040164,0.55663624,21.8237099
56,1779190817.688367605,0.000116864738,0.000268854837,0.000265282379,0.00739677975,-0.00891035166,0.000607755881,0.000395366958,0.664423769,0.0155451298,0.0178053379,0.466114296,0.271386383,0.556018029,21.9548274
57,1779190817.755081654,0.00104758299,0.000340828629,0.000938631793,0.0063868171,-0.00164533003,-0.00279251394,0.00144728156,0.410362108,0.0489087105,0.0177922249,0.733253742,0.151887056,0.559550577,21.7592881
58,1779190817.888509750,0.000687376229,0.00168740456,0.00239449718,0.00671517741,-0.0129198776,0.00659736114,0.00300889298,0.915912094,0.0155849457,0.0177650452,0.467314841,0.195699937,0.560018402,21.2714277
59,1779190817.921866894,-0.000128843612,0.000728675262,0.00138750165,0.00620393052,-0.0101612484,0.00410549176,0.00157249138,0.721551083,0.0155920982,0.0177583694,0.467522626,0.186587937,0.559964352,21.181934
60,1779190817.955224037,-0.000115331419,-0.001272729,-0.00054599719,0.00502704408,-0.00753623197,-0.00151651071,0.00138969543,0.526266551,0.015598774,0.0177512169,0.467729482,0.177614916,0.559914036,21.0933721
61,1779190817.988580942,0.00144054254,-0.00133191933,0.000745891536,-0.00723464822,-0.0154029918,-0.0044320676,0.00209893451,1.00755164,0.0156056881,0.0177443027,0.467936803,0.227606587,0.564076267,20.5502872
62,1779190818.021938324,0.000745890134,-0.000507299774,-0.00351153368,0.000846294587,-0.0107673261,-0.00149290872,0.00362554464,0.624708742,0.0156130791,0.0177369118,0.468158422,0.144507902,0.562036506,20.722395
63,1779190818.155366898,0.00108104869,0.005045679,0.00128630492,0.0104776669,-0.0353318248,0.0193326097,0.00531809395,2.3844058,0.0156419277,0.017701149,0.469120707,0.0567124832,0.565378815,20.3905071
64,1779190818.222081184,0.000587408584,0.000628605112,0.0033373264,0.0125809388,0.00495998669,0.000400273099,0.00344643885,0.775171256,0.015651226,0.0177109241,0.469131215,0.0836137868,0.567666321,19.5956497
65,1779190818.288802624,-0.00167213401,-0.00444965718,0.00204820248,-0.0137807072,-0.00116181416,-0.0116922528,0.00517596508,1.03761767,0.0490105152,0.0177135468,0.734525354,0.196165131,0.568583098,19.5291022
66,1779190818.422260761,-0.00233496933,-0.00378785793,0.00294796766,-0.0296775395,-0.0214682564,-0.00095787714,0.00533764581,2.09937233,0.0156581402,0.0177037716,0.469341814,0.155437635,0.571572853,18.3307909
67,1779190818.455625534,0.00113560145,0.00104697476,0.00328401277,0.00537066695,-0.0048941445,-9.12823544e-05,0.00362911651,0.416351704,0.0156610012,0.0177013874,0.469420862,0.375717609,0.574436935,18.4235759
68,1779190818.522355556,-7.41297003e-05,-0.000465887598,0.000397024275,0.0105016943,-0.0196611184,-0.00277065053,0.000616583118,1.28695257,0.0156662464,0.0176959038,0.469581437,0.368015634,0.573252482,18.6869623
69,1779190818.956114054,0.00125377563,0.00203595233,-0.000722292172,0.00264352956,-0.0247115362,0.00764991654,0.00249775123,1.48987701,0.0490748882,0.0176506042,0.73547435,0.355253762,0.583278747,15.7470972
70,1779190819.223053932,0.0024055125,0.0013221375,-0.00442265053,-0.00517191615,0.00831591484,0.0069788318,0.00520522581,0.688997531,0.0157511234,0.0176072121,0.472179538,0.132580175,0.591654739,12.9386418
71,1779190819.256422043,0.00214225947,0.000269209079,0.00159501764,-0.00559372775,0.0170146088,-0.0021278029,0.00268436779,1.03341361,0.0157608986,0.0175971985,0.47247595,0.126138849,0.595634723,12.0545827
72,1779190819.356478691,0.00157841925,0.000929337842,0.00178301438,-0.0040150603,0.00057448489,0.0047719502,0.00255621134,0.358830119,0.0157427788,0.0176155567,0.471929386,0.289310246,0.597374446,11.3033168
73,1779190819.623293400,-0.000135209581,-0.00089895203,0.00039052633,0.00485945614,-0.0142510693,-0.00731304222,0.000989397391,0.959063366,0.0156898499,0.0176687241,0.470339346,0.0761558565,0.598487809,11.6686132
74,1779190819.689996481,0.000647599758,-7.87681316e-05,0.00208225045,0.0163427441,0.00803849341,-0.00164082968,0.00218205335,1.04773755,0.0156757832,0.0176830292,0.469914306,0.169792839,0.603899602,11.3697255
75,1779190819.856753111,0.000603447427,-0.000653570984,0.0065106987,0.00545475716,-0.00433934943,-0.00707789306,0.00657118721,0.569166305,0.0156385899,0.0177199841,0.46880271,0.249914497,0.61127144,9.40612432
